ProjectURL,Title,Description,APIsUsed (a.k.a. npm dependencies used),Tags/keywords for the projects
https://libraries.io/npm/cli-cursor,cli-cursor,Toggle the CLI cursor,restore-cursor,cli||| cursor||| ansi||| toggle||| display||| show||| hide||| term||| terminal||| console||| tty||| shell||| command-line
https://libraries.io/npm/fstream,fstream,Advanced file system stream things,graceful-fs|||inherits|||mkdirp|||rimraf,delete|||glob|||mkdir
https://libraries.io/npm/once,once,Run a function exactly one time,wrappy,once||| function||| one||| single
https://libraries.io/rubygems/loofah,loofah,"Loofah is a general library for manipulating and transforming HTML/XML documents and fragments, built on top of Nokogiri. Loofah excels at HTML sanitization (XSS prevention). It includes some nice HTML sanitizers, which are based on HTML5lib's safelist, so it most likely won't make your codes less secure. ",crass|||nokogiri,css||| parser||| ruby
https://libraries.io/npm/postcss-calc,postcss-calc,PostCSS plugin to reduce calc(),css-unit-converter|||postcss|||postcss-selector-parser|||postcss-value-parser,css||| postcss||| postcss-plugin||| calculation||| calc
https://libraries.io/npm/postcss-modules-scope,postcss-modules-scope,A CSS Modules transform to extract export statements from local-scope classes,postcss|||postcss-selector-parser,css-modules||| postcss||| plugin
https://libraries.io/npm/axios,axios,Promise based HTTP client for the browser and node.js,follow-redirects,xhr||| http||| ajax||| promise||| node||| http-client||| javascript||| nodejs
https://libraries.io/npm/regex-cache,regex-cache,"Memoize the results of a call to the RegExp constructor, avoiding repetitious runtime compilation of the same string and options, resulting in surprising performance improvements.",is-equal-shallow,cache||| expression||| regex||| regexp||| regular||| regular expression||| store||| to-regex||| javascript||| regular-expression
https://libraries.io/npm/dns-txt,dns-txt,Encode/decode DNS-SD TXT record RDATA fields,buffer-indexof,rfc6763||| 6763||| rfc6762||| 6762||| dns||| mdns||| multicast||| txt||| rdata||| dns-sd||| encode||| decode||| parse||| encoder||| decoder||| parser||| service||| discovery
https://libraries.io/npm/postcss-discard-duplicates,postcss-discard-duplicates,Discard duplicate rules in your CSS files with PostCSS.,postcss,css||| dedupe||| optimise||| postcss||| postcss-plugin
https://libraries.io/npm/postcss-convert-values,postcss-convert-values,Convert values with PostCSS ,postcss-value-parser,css||| optimisation||| postcss||| postcss-plugin
https://libraries.io/npm/postcss-discard-empty,postcss-discard-empty,Discard empty rules and values with PostCSS.,postcss,compress||| css||| empty||| minify||| optimisation||| postcss||| postcss-plugin
https://libraries.io/npm/duplexer2,duplexer2,Like duplexer but using streams3,readable-stream,duplex||| duplexer||| stream||| stream3||| join||| combine
https://libraries.io/npm/postcss-discard-overridden,postcss-discard-overridden,PostCSS plugin to discard overridden @keyframes or @counter-style,postcss,postcss||| css||| postcss-plugin||| at-rules||| @keyframes||| @counter-style
https://libraries.io/npm/nth-check,nth-check,performant nth-check parser & compiler,boolbase,nth-child||| nth||| css||| css-selector||| optimized-functions
https://libraries.io/npm/makeerror,makeerror,A library to make errors.,tmpl,BSD-3-Clause
https://libraries.io/npm/dir-glob,dir-glob,Convert directories to glob compatible strings,path-type,convert||| directory||| extensions||| files||| glob||| directories||| globbing||| matching||| nodejs||| pattern
https://libraries.io/npm/history,history,Manage session history with JavaScript,@babel/runtime,history||| location
https://libraries.io/npm/postcss-reduce-idents,postcss-reduce-idents,Reduce custom identifiers with PostCSS.,postcss|||postcss-value-parser,css||| postcss||| postcss-plugin
https://libraries.io/npm/open,open,"Open stuff like URLs, files, executables. Cross-platform.",is-docker|||is-wsl,app||| open||| opener||| opens||| launch||| start||| xdg-open||| xdg||| default||| cmd||| browser||| editor||| executable||| exe||| url||| urls||| arguments||| args||| spawn||| exec||| child||| process||| website||| file
https://libraries.io/npm/jasmine-spec-reporter,jasmine-spec-reporter,Spec reporter for jasmine behavior-driven development framework,colors,jasmine||| reporter||| bdd||| spec||| protractor||| typescript
https://libraries.io/npm/better-assert,better-assert,"Better assertions for node, reporting the expr, filename, lineno etc",callsite,assert||| stack||| trace||| debug
https://libraries.io/npm/original,original,Generate the origin from an URL or check if two URL/Origins are the same,url-parse,origin||| url||| parse
https://libraries.io/npm/string-length,string-length,Get the real length of a string - by correctly counting astral symbols and ignoring ansi escape codes,astral-regex|||strip-ansi,unicode||| string||| length||| size||| count||| astral||| symbol||| surrogates||| codepoints||| ansi||| escape||| codes
https://libraries.io/npm/postcss-color-rebeccapurple,postcss-color-rebeccapurple,PostCSS plugin to transform W3C CSS rebeccapurple color to more compatible CSS,postcss|||postcss-values-parser,css||| postcss||| postcss-plugin||| color||| colour||| rgb||| rebeccapurple
https://libraries.io/npm/run-queue,run-queue,"A promise based, dynamic priority queue runner, with concurrency limiting.",aproba,graceful-fs|||iferr|||imurmurhash|||readable-stream
https://libraries.io/npm/postcss-attribute-case-insensitive,postcss-attribute-case-insensitive,PostCSS plugin to support case insensitive attributes,postcss|||postcss-selector-parser,postcss||| css||| postcss-plugin||| attribute||| insensitive||| sensitive||| CSS4
https://libraries.io/npm/babel-plugin-macros,babel-plugin-macros,Allows you to build compile-time libraries,babel/runtime|||cosmiconfig|||resolve,babel-plugin||| macros||| macro||| babel-macro||| babel-plugin-macro||| babel-macros||| babel-plugin-macros||| babel
https://libraries.io/npm/klaw,klaw,File system walker with Readable stream interface.,graceful-fs,walk||| walker||| fs||| fs-extra||| readable||| streams
https://libraries.io/npm/cors,cors,Node.js CORS middleware,object-assign|||vary,cors||| express||| connect||| middleware||| expressjs||| javascript||| nodejs
https://libraries.io/npm/walker,walker,A simple directory tree walker.,makeerror,utils||| fs||| filesystem
https://libraries.io/npm/postcss-safe-parser,postcss-safe-parser,Fault-tolerant CSS parser for PostCSS,postcss,css||| postcss||| postcss-syntax||| parser||| fault tolerant
https://libraries.io/npm/raw-loader,raw-loader,A loader for webpack that allows importing files as a String,loader-utils|||schema-utils,webpack||| files||| raw||| webpack-loader
https://libraries.io/npm/fd-slicer,fd-slicer,safely create multiple ReadStream or WriteStream objects from the same file descriptor,pend,createReadStream||| createWriteStream
https://libraries.io/npm/vue-template-compiler,vue-template-compiler,template compiler for Vue 2.0,de-indent|||he,vue||| compiler||| framework||| frontend||| javascript
https://libraries.io/npm/registry-url,registry-url,Get the set npm registry URL,rc,npm||| conf||| config||| npmconf||| registry||| url||| uri||| scope
https://libraries.io/npm/karma-coverage-istanbul-reporter,karma-coverage-istanbul-reporter,A karma reporter that uses the latest istanbul 1.x APIs (with full sourcemap support) to report coverage.,istanbul-api|||minimatch,karma-plugin||| karma-reporter||| coverage||| istanbul||| istanbuljs||| coverage-report||| javascript
https://libraries.io/npm/workbox-streams,workbox-streams,A library that makes it easier to work with Streams in the browser.,workbox-core|||workbox-routing,workbox||| workboxjs||| service worker||| sw||| streams||| readablestream||| offline-first||| progressive-web-app||| service-worker||| service-workers||| sw-precache||| sw-toolbox
https://libraries.io/npm/jasmine,jasmine,Command line jasmine,glob|||jasmine-core,test||| jasmine||| tdd||| bdd
https://libraries.io/npm/image-size,image-size,get dimensions of any image file,queue,image||| size||| dimensions||| resolution||| width||| height||| png||| jpeg||| bmp||| gif||| psd||| tiff||| webp||| svg||| icns||| ico||| cur
https://libraries.io/npm/pretty-error,pretty-error,See nodejs errors with less clutter,renderkid|||utila,pretty||| error||| exception||| debug||| error-handling||| readable||| colorful||| prettify||| format||| human
https://libraries.io/npm/chrome-trace-event,chrome-trace-event,A library to create a trace of your node app per Google's Trace Event format.,tslib,trace-event||| trace||| event||| trace-viewer||| google
https://libraries.io/npm/JSONStream,JSONStream,streaming JSON.parse and stringify,jsonparse|||through,json||| stream||| streaming||| parser||| async||| parsing
https://libraries.io/npm/url-parse-lax,url-parse-lax,Lax url.parse() with support for protocol-less URLs & IPs,prepend-http,url||| uri||| parse||| parser||| loose||| lax||| protocol||| less||| protocol-less||| ip||| ipv4||| ipv6
https://libraries.io/npm/shallow-clone,shallow-clone,Creates a shallow clone of any JavaScript value.,kind-of,array||| clone||| copy||| extend||| mixin||| object||| primitive||| shallow||| regex||| regular-expression
https://libraries.io/npm/pump,pump,pipe streams together and close all of them if one of them closes,end-of-stream|||once,streams||| pipe||| destroy||| callback
https://libraries.io/npm/supertest,supertest,SuperAgent driven library for testing HTTP servers,methods|||superagent,superagent||| request||| tdd||| bdd||| http||| test||| testing||| assertions||| node||| supertest
https://libraries.io/npm/consolidate,consolidate,Template engine consolidation library,bluebird,engine||| template||| view
https://libraries.io/npm/identity-obj-proxy,identity-obj-proxy,an identity object using ES6 proxies,harmony-reflect,proxy||| proxies||| identity||| jest||| mock
https://libraries.io/npm/widest-line,widest-line,Get the visual width of the widest line in a string - the number of columns required to display it,string-width,string||| character||| unicode||| width||| visual||| column||| columns||| fullwidth||| full-width||| full||| ansi||| escape||| codes||| cli||| command-line||| terminal||| console||| cjk||| chinese||| japanese||| korean||| fixed-width
https://libraries.io/npm/magic-string,magic-string,"Modify strings, generate sourcemaps",sourcemap-codec,string||| string manipulation||| sourcemap||| templating||| transpilation
https://libraries.io/npm/error-stack-parser,error-stack-parser,Extract meaning from JS Errors,stackframe,stacktrace||| error||| stack||| parser||| error-handling||| javascript||| stacktracejs
https://libraries.io/npm/workbox-precaching,workbox-precaching,This module efficiently precaches assets.,workbox-core,workbox||| workboxjs||| service worker||| sw||| offline-first||| progressive-web-app||| service-worker||| service-workers||| sw-precache||| sw-toolbox
https://libraries.io/npm/user-home,user-home,Get the path to the user home directory,os-homedir,user||| home||| homedir||| os-homedir||| dir||| directory||| folder||| path||| env||| vars||| environment||| variables||| userprofile
https://libraries.io/rubygems/warden,warden,An authentication library compatible with all Rack-based frameworks,rack,warden|||rack
https://libraries.io/npm/wbuf,wbuf,Write buffer,minimalistic-assert,Write||| Buffer
https://libraries.io/npm/has-binary,has-binary,A function that takes anything in javascript and returns true if its argument contains binary data.,isarray,has-binary|||isarray
https://libraries.io/npm/property-information,property-information,Information for HTML properties,xtend,html||| property||| attribute||| information||| info
https://libraries.io/rubygems/pry-rails,pry-rails,Use Pry as your rails console,pry,pry|||pry-rails
https://libraries.io/npm/ordered-read-streams,ordered-read-streams,Combines array of streams into one read stream in strict order,readable-stream,ordered-read-streams|||readable-streams
https://libraries.io/rubygems/jekyll-sitemap,jekyll-sitemap,Automatically generate a sitemap.xml for your Jekyll site.,jekyll,jekyll-plugin||| ruby||| sitemap
https://libraries.io/npm/crc,crc,Module for calculating Cyclic Redundancy Check (CRC) for Node.js and the Browser.,buffer,crc
https://libraries.io/npm/is-unc-path,is-unc-path,Returns true if a filepath is a windows UNC file path.,unc-path-regex,absolute||| expression||| file||| filepath||| is||| match||| matching||| path||| regex||| regexp||| regular||| unc||| win||| windows
https://libraries.io/npm/keyv,keyv,Simple key-value storage with support for multiple backends,json-buffer,key||| value||| store||| cache||| ttl||| key-value||| keyv
https://libraries.io/rubygems/jekyll-feed,jekyll-feed,A Jekyll plugin to generate an Atom feed of your Jekyll posts,jekyll,atom||| jekyll-plugin||| rss||| ruby
https://libraries.io/npm/ps-tree,ps-tree,Get all children of a pid,event-stream,ps-tree|||event-stream
https://libraries.io/npm/babel-plugin-react-transform,babel-plugin-react-transform,Babel plugin to instrument React components with custom transforms,lodash,babel-plugin||| react-transform||| instrumentation||| dx||| react||| reactjs||| components
https://libraries.io/npm/archive-type,archive-type,Detect the archive type of a Buffer/Uint8Array,file-type,7zip||| archive||| buffer||| bz2||| bzip2||| check||| detect||| gz||| gzip||| mime||| rar||| zip||| file||| type
https://libraries.io/npm/path,path,Node.JS path module,process|||util,ender||| path
https://libraries.io/npm/sass,sass,A pure JavaScript implementation of Sass,chokidar,style||| scss||| sass||| preprocessor||| css||| css-preprocessor||| dart||| dart-sass
https://libraries.io/npm/plur,plur,Pluralize a word,irregular-plurals,plural||| plurals||| pluralize||| singular||| count||| word||| string||| irregular||| noun||| nouns
https://libraries.io/npm/accepts,accepts,"Higher level content negotiation based on negotiator. Extracted from koa for general use.
In addition to negotiator, it allows Allows types as an array or arguments list,shorthands such as json,Returns false when no types match,Treats non-existent headers as ",mime-types|||negotiator,content|||negotiation|||accept|||accepts|||http|||javascript|||nodejs
https://libraries.io/npm/ajv,ajv,Another JSON Schema Validator. Ajv generates code using doT templates to turn JSON Schemas into super-fast validation functions that are efficient for v8 optimization.,fast-deep-equal|||fast-json-stable-stringify|||json-schema-traverse|||uri-js,JSON|||schema|||validator|||validation|||jsonschema|||json-schema|||json-schema-validator|||json-schema-validation|||ajv
https://libraries.io/npm/ansi-styles,ansi-styles,ANSI escape codes for styling strings in the terminal.,color-convert,ansi|||styles|||color|||colors|||terminal|||console|||cli|||string|||tty|||escape|||formatting|||rgb|||256|||shell|||xterm|||log|||logging|||command-line|||text|||chalk
https://libraries.io/npm/anymatch,anymatch,"Matches strings against configurable strings, globs, regular expressions, and/or functions.",normalize-path|||picomatch,match|||any|||string|||file|||fs|||list|||glob|||regex|||regexp|||regular|||expression|||function|||javascript|||matcher|||micromatch|||minimatch|||multimatch|||node|||nodejs|||regular-expression
https://libraries.io/npm/debug,debug,A tiny JavaScript debugging utility modelled after Node.js core's debugging technique. Works in Node.js and web browsers.,ms,debug|||log|||debugger|||browser|||debugging|||javascript|||logging|||node|||node-js
https://libraries.io/npm/find-cache-dir,find-cache-dir,Finds the common standard cache directory.,commondir|||make-dir|||pkg-dir,cache|||directory|||dir|||caching|||find|||search|||nodejs|||npm
https://libraries.io/npm/grunt-release,grunt-release,Release a new version of your Node-based project.,q||| semver||| shelljs|||| superagent,gruntplugin|||bump|||release|||npm|||git
https://libraries.io/npm/jest,jest,"Delightful JavaScript Testing.Developer Ready: A comprehensive JavaScript testing solution. Works out of the box for most JavaScript projects.Instant Feedback: Fast, interactive watch mode only runs test files related to changed files.Snapshot Testing: Capture snapshots of large objects to simplify testing and to analyze how they change over time.",import-local|||jest-cli,ava|||babel|||coverage|||easy|||expect|||facebook|||immersive|||instant|||jasmine|||jest|||jsdom|||mocha|||mocking|||painless|||qunit|||runner|||sandboxed|||snapshot|||tap|||tape|||test|||testing|||typescript|||watch|||expectation|||javascript|||painless-javascript-testing
https://libraries.io/npm/npm-conf,npm-conf,Get the npm config.,config-chain|||pify,conf|||config|||global|||npm|||path|||prefix|||rc|||nodejs
https://libraries.io/npm/npm-path,npm-path,Get a PATH with all executables available to npm scripts.,which,npm|||run|||executable
https://libraries.io/npm/npm-pick-manifest,npm-pick-manifest,Resolves a matching manifest from a package metadata document according to standard npm semver resolution rules.,figgy-pudding|||npm-package-arg,npm|||run|||path|||package|||bin|||binary|||binaries|||script|||cli|||command-line|||execute|||executable
https://libraries.io/npm/npm-run-path,npm-run-path,Get your PATH prepended with locally installed binaries. In npm run scripts you can execute locally installed binaries by name. This enables the same outside npm.,path-key,npm|||run|||path|||package|||bin|||binary|||binaries|||script|||cli|||command-line|||execute|||executable|||PATH
https://libraries.io/npm/pkg-config,pkg-config,Parse the closest `package.json` and get package specific configurations.,debug-log|||find-root||| xtend ,pkg-config|||config|||node|||npm|||package
https://libraries.io/npm/pkg-dir,pkg-dir,Find the root directory of a Node.js project or npm package.,find-up,package|||json|||root|||npm|||entry|||find|||up|||find-up|||findup|||look-up|||look|||file|||search|||match|||resolve|||parent|||parents|||folder|||directory|||dir|||walk|||walking|||path
https://libraries.io/npm/safe-publish-latest,safe-publish-latest,"Ensure that when you `npm publish`, the ""latest"" tag is only set for the truly latest version.",hosted-git-info|||in-publish|||semver|||yargs,publish|||latest|||npm|||dist-tag|||tag|||safe|||prepublish
https://libraries.io/npm/del,del,"Delete files and directories using globs. Similar to rimraf, but with a Promise API and support for multiple files and globbing. It also protects you against deleting the current working directory and above.",globby|||graceful-fs|||is-glob|||is-path-cwd||is-path-inside|||p-map|||rimraf|||slash,delete|||files|||folders|||directories|||remove|||destroy|||trash|||unlink|||clean|||cleaning|||cleanup|||rm|||rmrf|||rimraf|||rmdir|||glob|||gulpfriendly|||file|||folder|||directory|||fs|||filesystem
https://libraries.io/npm/autoprefixer,autoprefixer,Parse CSS and add vendor prefixes to CSS rules using values from the Can I Use . Autoprefixer will use the data based on current browser popularity and property support to apply prefixes for you. ,browserslist|||caniuse-lite|||chalk|||normalize-range|||num2fraction|||postcss|||postcss-value-parser,autoprefixer|||css|||prefix|||postcss|||postcss-plugin|||postcss-plugins|||prefixer
https://libraries.io/npm/dashdash,dashdash,"A light, featureful and explicit option parsing library for nodejs.",assert-plus,option|||parser|||parsing|||cli|||command|||args|||bash|||completion
https://libraries.io/npm/js-yaml,js-yaml,"This is an implementation of YAML, a human-friendly data serialization language. Started as PyYAML port, it was completely rewritten from scratch. Now it's very fast, and supports 1.2 spec.",argparse|||esprima,yaml|||parser|||serializer|||pyyaml
https://libraries.io/npm/readdirp,readdirp,Recursive version of fs.readdir. Exposes a stream api and a promise api.,picomatch,recursive|||fs|||stream|||streams|||readdir|||filesystem|||find|||filter
https://libraries.io/npm/expand-range,expand-range,"Fast, bash-like range expansion. Expand a range of numbers or letters, uppercase or lowercase. Used by micromatch.",extend-shallow|||fill-range,alpha|||alphabetical|||bash|||brace|||expand|||expansion|||glob|||match|||matches|||matching|||number|||numerical|||range|||ranges|||sh|||array|||fill|||letters|||numbers|||range-expansion
https://libraries.io/npm/strip-ansi,strip-ansi,Strip ANSI escape codes from a string.,ansi-regex,strip|||trim|||remove|||ansi|||styles|||color|||colour|||colors|||terminal|||console|||string|||tty|||escape|||formatting|||rgb||| 256|||shell|||xterm|||log|||logging|||command-line|||text
https://libraries.io/npm/browserify-cipher,browserify-cipher,"Provides createCipher, createDecipher, createCipheriv, createDecipheriv and getCiphers for the browserify. Includes AES and DES ciphers.",browserify-aes|||browserify-des|||evp_bytestokey,aes|||browserify|||crypto|||des|||javascript
https://libraries.io/npm/camelcase-keys,camelcase-keys,Convert object keys to camel case.,camelcase|||map-obj|||quick-lru,map|||obj|||object|||key|||keys|||value|||values|||val|||iterate|||camelcase|||camel-case|||dash|||hyphen|||dot|||underscore|||separator|||string|||text|||convert|||deep|||recurse|||recursive
https://libraries.io/npm/npm-which,npm-which,"Locate a program or locally installed node module's executable. Use npm-which to locate executables which may be installed in the local 'node_modules/.bin', or in a parent 'node_modules/.bin' directory.  If you install a module that has an executable script using npm install, that module's executable will be picked up by npm-which from anywhere in the ./node_modules tree.",commander|||npm-path|||which,npm||| path||| executable||| run
https://libraries.io/npm/pre-commit,pre-commit,Automatically install pre-commit hooks for your npm modules. Its pre-commit hook installer for git. It will ensure that your npm test (or other specified scripts) passes before you can commit your changes. ,cross-spawn|||spawn-sync|||which,git||| hooks||| npm||| pre-commit||| pre-commit||| run||| test|||development
https://libraries.io/npm/is-dom,is-dom,Check if the given object is a dom node.,is-object|||is-window,dom|||html|||is-dom|||dom-node|||dom-object
https://libraries.io/npm/@lerna%2Fwrite-log-file,lerna/write-log-file,What lerna uses to dump logs.,npmlog|||write-file-atomic,lerna|||utils|||monorepo|||npm|||package|||publishing
https://libraries.io/npm/@lerna%2Flog-packed,lerna/Flog-packed,Log the result of npm pack.,byte-size|||columnify|||has-unicode|||npmlog,lerna|||npm|||log|||pack|||monorepo|||package|||publishing
https://libraries.io/npm/@lerna%2Fprompt,lerna/Fprompt,An internal Lerna tool.,inquirer|||npmlog,lerna|||utils|||monorepo|||npm|||package|||publishing
https://libraries.io/npm/@lerna%2Frimraf-dir,lerna/rimraf-dir,Run rimraf on a directory in a subprocess to hack around slowness.,npmlog|||path-exists|||rimraf|||lerna/child-process,lerna|||utils|||monorepo|||npm|||package|||publishing
https://libraries.io/npm/@lerna%2Fhas-npm-version,lerna/has-npm-version,Test if the current version of npm satisfies a given semver range.,semver|||lerna/child-process,lerna|||utils|||monorepo|||npm|||package|||publishing
https://libraries.io/npm/map-limit,map-limit,Async mapLimit's functionality available as a standalone npm module.,once,async|||map|||limit|||mapLimit
https://libraries.io/npm/postcss-partial-import,postcss-partial-import,"Partial Import lets you use sugary @import statements in CSS, including glob-like and Sass-like behavior. It even lets you generates imports as a scaffolding tool.",glob|||postcss-import,postcss|||css|||postcss-plugin|||sugar|||sass|||scss|||imports|||styles|||files|||partials|||modules|||bower|||node|||npm
https://libraries.io/npm/npm-watch,npm-watch,Run scripts from package.json when files change.,nodemon|||through2,npm|||watch|||nodemon|||monitor
https://libraries.io/npm/elm,elm,Installer for Elm. Just downloads the binary into node_modules.,async-each-series|||bin-wrapper|||logalot,bin|||binary|||binaries|||elm|||install|||installer|||compiler
https://libraries.io/npm/libnpmsearch,libnpmsearch,Programmatic API for searching in npm and compatible registries.,figgy-pudding|||get-stream|||npm-registry-fetch,npm|||search|||api|||libnpm
https://libraries.io/npm/grunt-karma-coveralls,grunt-karma-coveralls,An npm module for using Karma and Coveralls with Grunt.,coveralls|||glob|||karma-coverage|||log-driver,Grunt.js|||Karma|||Coveralls.js
https://libraries.io/npm/npm-registry-couchapp,npm-registry-couchapp,The CouchApp implementation of an npm registry.,couchapp|||json|||semver,npm|||registry|||couchapp|||design|||doc|||ddoc|||couchdb|||couch
https://libraries.io/npm/linklocal,linklocal,Install local dependencies as symlinks.,commander|||debug|||map-limit,npm|||packages|||symlink|||dependencies|||modules
https://libraries.io/npm/@lerna%2Fpackage,lerna/package,Lerna's internal representation of a package.,load-json-file|||npm-package-arg|||write-pkg,lerna|||npm|||config|||monorepo|||package|||publishing
https://libraries.io/npm/@lerna%2Fnpm-conf,lerna/npm-conf,Vendored npm-conf with updates.,config-chain|||pify,lerna|||npm|||config|||monorepo|||package|||publishing
https://libraries.io/npm/@lerna%2Foutput,lerna/output,An internal Lerna tool,libnpm,lerna|||utils|||monorepo|||npm|||package|||publishing
https://libraries.io/npm/@lerna%2Fvalidation-error,lerna/validation-error,An internal Lerna tool,libnpm,lerna|||core|||monorepo|||npm|||packagepublishing
https://libraries.io/npm/@lerna%2Fdescribe-ref,lerna/describe-ref,Parse git describe output for lerna-related tags.,lerna/child-process|||npmlog,lerna|||utils|||git|||describe|||monorepo|||npm|||package|||publishing
https://libraries.io/npm/grunt-npm-install,grunt-npm-install,Grunt task to install npm modules.,npm,gruntplugin|||npm|||install
https://libraries.io/npm/precommit-hook,precommit-hook,A useful pre-commit hook for git based projects that lints and runs npm test.  It allows you to run any scripts defined in your package.json before a commit is made.,git-validate|||jshint,precommit|||hook|||code|||quality
https://libraries.io/npm/realize-package-specifier,realize-package-specifier,"Like npm-package-arg, but more so, producing full file paths and differentiating local tar and directory sources.",dezalgo|||npm-package-arg,parse|||package|||specifier||local|||tarballs|||directories|||named|||modules
https://libraries.io/npm/grunt-npmcopy,grunt-npmcopy,NPM on the front-end without the cruft.,glob|||lodash,gruntplugin|||npmcopy|||npm|||copy|||package|||package|||manager
https://libraries.io/npm/less-plugin-npm-import,less-plugin-npm-import,NPM import plugin for lessjs. Adds the ability for less to import from npm packages.,promise|||resolve,less|||plugins|||npm|||import|||less|||prefixes|||less-plugin
https://libraries.io/npm/npm-programmatic,npm-programmatic,Use NPM commands programmatically.,bluebird,NPM|||Programmatic
https://libraries.io/npm/atom-package-path,atom-package-path,Get path of requirer apm module from your npm module.,sb-callsite,atom
https://libraries.io/npm/matchkeys,matchkeys,Utility for returning a list of arrays that contain matching keywords. Useful for filtering packagejson files.,lodash|||multimatch,filepath|||filter|||keys|||keywords|||match|||module|||node|||npm|||package|||package|||json|||paths|||pattern|||pkg|||require|||resolve|||resolved
